,User,OperationalShift,StackBarcodeData,Robot_Cycle_Time,GlueWeight,Spare01,Spare02
0,USERBE,RN,ETIK012340,7.0,39.0,1.0,1.0
1,USERBE,RN,ETIK012340,7.0,39.0,1.0,1.0
